title,url,viewer_url,kogl_type1,parent_docid,mngno,docid,item_title,source_id
"경기도 경성부 중부 종로2정목외16정-011[관철동,인사동,관훈동,낙원동,경운동,운니동] - 관훈동 0061",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508312&docid=0050576619&mngno=BJCA000152&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050576619,True,0014177170,BJCA000152,0050576619,관훈동 0061,
"경기도 경성부 중부 종로2정목외16정-011[관철동,인사동,관훈동,낙원동,경운동,운니동] - 관훈동 0062",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508312&docid=0050407686&mngno=BJCA000152&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050407686,True,0014177170,BJCA000152,0050407686,관훈동 0062,
"경기도 경성부 중부 종로2정목외16정-011[관철동,인사동,관훈동,낙원동,경운동,운니동] - 관훈동 0063",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508312&docid=0050407687&mngno=BJCA000152&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050407687,True,0014177170,BJCA000152,0050407687,관훈동 0063,
"경기도 경성부 중부 종로2정목외16정-011[관철동,인사동,관훈동,낙원동,경운동,운니동] - 관훈동 0064",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508312&docid=0050576620&mngno=BJCA000152&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050576620,True,0014177170,BJCA000152,0050576620,관훈동 0064,
"경기도 경성부 중부 종로2정목외16정-011[관철동,인사동,관훈동,낙원동,경운동,운니동] - 관훈동 0065",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508312&docid=0050407688&mngno=BJCA000152&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050407688,True,0014177170,BJCA000152,0050407688,관훈동 0065,
"경기도 경성부 중부 종로2정목외16정-011[관철동,인사동,관훈동,낙원동,경운동,운니동] - 관훈동 0066",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508312&docid=0050407689&mngno=BJCA000152&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050407689,True,0014177170,BJCA000152,0050407689,관훈동 0066,
"경기도 경성부 중부 종로2정목외16정-011[관철동,인사동,관훈동,낙원동,경운동,운니동] - 관훈동 0067",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508312&docid=0050576621&mngno=BJCA000152&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050576621,True,0014177170,BJCA000152,0050576621,관훈동 0067,
"경기도 경성부 중부 종로2정목외16정-011[관철동,인사동,관훈동,낙원동,경운동,운니동] - 관훈동 0068",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508312&docid=0050407690&mngno=BJCA000152&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050407690,True,0014177170,BJCA000152,0050407690,관훈동 0068,
"경기도 경성부 중부 종로2정목외16정-011[관철동,인사동,관훈동,낙원동,경운동,운니동] - 관훈동 0069",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508312&docid=0050407691&mngno=BJCA000152&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050407691,True,0014177170,BJCA000152,0050407691,관훈동 0069,
"경기도 경성부 중부 종로2정목외16정-011[관철동,인사동,관훈동,낙원동,경운동,운니동] - 관훈동 0070",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508312&docid=0050576622&mngno=BJCA000152&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050576622,True,0014177170,BJCA000152,0050576622,관훈동 0070,
"경기도 경성부 중부 종로2정목외16정-011[관철동,인사동,관훈동,낙원동,경운동,운니동] - 관훈동 0071",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508312&docid=0050407692&mngno=BJCA000152&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050407692,True,0014177170,BJCA000152,0050407692,관훈동 0071,
"경기도 경성부 중부 종로2정목외16정-011[관철동,인사동,관훈동,낙원동,경운동,운니동] - 관훈동 0072",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508312&docid=0050407693&mngno=BJCA000152&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050407693,True,0014177170,BJCA000152,0050407693,관훈동 0072,
"경기도 경성부 중부 종로2정목외16정-011[관철동,인사동,관훈동,낙원동,경운동,운니동] - 관훈동 0073",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508312&docid=0050576623&mngno=BJCA000152&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050576623,True,0014177170,BJCA000152,0050576623,관훈동 0073,
"경기도 경성부 중부 종로2정목외16정-011[관철동,인사동,관훈동,낙원동,경운동,운니동] - 관훈동 0074",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508312&docid=0050407694&mngno=BJCA000152&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050407694,True,0014177170,BJCA000152,0050407694,관훈동 0074,
"경기도 경성부 중부 종로2정목외16정-011[관철동,인사동,관훈동,낙원동,경운동,운니동] - 관훈동 0075",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508312&docid=0050407695&mngno=BJCA000152&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050407695,True,0014177170,BJCA000152,0050407695,관훈동 0075,
"경기도 경성부 중부 종로2정목외16정-011[관철동,인사동,관훈동,낙원동,경운동,운니동] - 관훈동 0076",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508312&docid=0050576624&mngno=BJCA000152&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050576624,True,0014177170,BJCA000152,0050576624,관훈동 0076,
"경기도 경성부 중부 종로2정목외16정-011[관철동,인사동,관훈동,낙원동,경운동,운니동] - 관훈동 0077",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508312&docid=0050407696&mngno=BJCA000152&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050407696,True,0014177170,BJCA000152,0050407696,관훈동 0077,
"경기도 경성부 중부 종로2정목외16정-011[관철동,인사동,관훈동,낙원동,경운동,운니동] - 관훈동 0078",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508312&docid=0050407697&mngno=BJCA000152&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050407697,True,0014177170,BJCA000152,0050407697,관훈동 0078,
"경기도 경성부 중부 종로2정목외16정-011[관철동,인사동,관훈동,낙원동,경운동,운니동] - 관훈동 0079",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508312&docid=0050576625&mngno=BJCA000152&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050576625,True,0014177170,BJCA000152,0050576625,관훈동 0079,
"경기도 경성부 중부 종로2정목외16정-011[관철동,인사동,관훈동,낙원동,경운동,운니동] - 관훈동 0080",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508312&docid=0050407698&mngno=BJCA000152&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050407698,True,0014177170,BJCA000152,0050407698,관훈동 0080,
"경기도 경성부 중부 종로2정목외16정-011[관철동,인사동,관훈동,낙원동,경운동,운니동] - 관훈동 0081",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508312&docid=0050576651&mngno=BJCA000152&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050576651,True,0014177170,BJCA000152,0050576651,관훈동 0081,
"경기도 경성부 중부 종로2정목외16정-011[관철동,인사동,관훈동,낙원동,경운동,운니동] - 관훈동 0082",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508312&docid=0050407699&mngno=BJCA000152&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050407699,True,0014177170,BJCA000152,0050407699,관훈동 0082,
"경기도 경성부 중부 종로2정목외16정-011[관철동,인사동,관훈동,낙원동,경운동,운니동] - 관훈동 0083",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508312&docid=0050407700&mngno=BJCA000152&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050407700,True,0014177170,BJCA000152,0050407700,관훈동 0083,
"경기도 경성부 중부 종로2정목외16정-011[관철동,인사동,관훈동,낙원동,경운동,운니동] - 관훈동 0084",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508312&docid=0050576626&mngno=BJCA000152&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050576626,True,0014177170,BJCA000152,0050576626,관훈동 0084,
"경기도 경성부 중부 종로2정목외16정-011[관철동,인사동,관훈동,낙원동,경운동,운니동] - 관훈동 0085",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508312&docid=0050407701&mngno=BJCA000152&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050407701,True,0014177170,BJCA000152,0050407701,관훈동 0085,
"경기도 경성부 중부 종로2정목외16정-011[관철동,인사동,관훈동,낙원동,경운동,운니동] - 관훈동 0086",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508312&docid=0050407702&mngno=BJCA000152&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050407702,True,0014177170,BJCA000152,0050407702,관훈동 0086,
