parent_source_id,archive_number,title,url,source_id,coverage,coverage_status,retrieved_at,coverage_source_id,coverage_locator,book_order,book_entry_page
src-0003,H-TRNS-93713-790,한성부 동서 숭교방도 칠매지내 제7호,https://museum.seoul.go.kr/archive/archiveNew/NR_archiveView.do?ctgryId=CTGRY790&fileSn=300&type=C&upperNodeId=CTGRY790&fileId=H-TRNS-93713-790,,종로구 명륜동 2~3가 일대,institution_description,2026-09-08,src-0008,PDF page 7 / printed page 007,3,22
src-0003,H-TRNS-93714-790,한성부 동서 숭신방도 십매지내 제5호,https://museum.seoul.go.kr/archive/archiveNew/NR_archiveView.do?ctgryId=CTGRY790&fileSn=300&type=C&upperNodeId=CTGRY790&fileId=H-TRNS-93714-790,,"종로구 동숭동, 이화동 일대",institution_description,2026-09-08,src-0008,PDF page 7 / printed page 007,4,28
src-0003,H-TRNS-93715-790,한성부 동서 숭신방도 십매지내 제6호,https://museum.seoul.go.kr/archive/archiveNew/NR_archiveView.do?ctgryId=CTGRY790&fileSn=300&type=C&upperNodeId=CTGRY790&fileId=H-TRNS-93715-790,,종로구 이화동 일대,institution_description,2026-09-08,src-0008,PDF page 7 / printed page 007,5,34
src-0003,H-TRNS-93716-790,한성부 동서 숭신방도 십매지내 제7호,https://museum.seoul.go.kr/archive/archiveNew/NR_archiveView.do?ctgryId=CTGRY790&fileSn=300&type=C&upperNodeId=CTGRY790&fileId=H-TRNS-93716-790,,종로구 혜화동,institution_description,2026-09-08,src-0008,PDF page 7 / printed page 007,6,40
src-0003,H-TRNS-93717-790,한성부 동서 창선방도 오매지내 제1호,https://museum.seoul.go.kr/archive/archiveNew/NR_archiveView.do?ctgryId=CTGRY790&fileSn=300&type=C&upperNodeId=CTGRY790&fileId=H-TRNS-93717-790,,"종로구 종로 6가, 충신동 일원",institution_description,2026-09-08,src-0008,PDF page 7 / printed page 007,7,46
src-0003,H-TRNS-93718-790,한성부 동서 창선방도 오매지내 제2호,https://museum.seoul.go.kr/archive/archiveNew/NR_archiveView.do?ctgryId=CTGRY790&fileSn=300&type=C&upperNodeId=CTGRY790&fileId=H-TRNS-93718-790,,"종로 6가 동대문, 동대문종합시장, 청계천 부근",institution_description,2026-09-08,src-0008,PDF page 7 / printed page 007,8,52
src-0003,H-TRNS-93727-790,한성부 서서 반송방도 십칠매지내 제10호,https://museum.seoul.go.kr/archive/archiveNew/NR_archiveView.do?ctgryId=CTGRY790&fileSn=300&type=C&upperNodeId=CTGRY790&fileId=H-TRNS-93727-790,,"서대문구 현저동, 종로구 무악동 일대",institution_description,2026-09-08,src-0008,PDF page 7 / printed page 007,17,106
src-0003,H-TRNS-93728-790,한성부 서서 반송방도 십칠매지내 제14호,https://museum.seoul.go.kr/archive/archiveNew/NR_archiveView.do?ctgryId=CTGRY790&fileSn=300&type=C&upperNodeId=CTGRY790&fileId=H-TRNS-93728-790,,"서대문구 옥천동, 천연동, 냉천동 일대",institution_description,2026-09-08,src-0008,PDF page 7 / printed page 007,18,112
src-0003,H-TRNS-93729-790,한성부 서서 반송방도 십칠매지내 제15호,https://museum.seoul.go.kr/archive/archiveNew/NR_archiveView.do?ctgryId=CTGRY790&fileSn=300&type=C&upperNodeId=CTGRY790&fileId=H-TRNS-93729-790,,서대문구 냉천동 일대,institution_description,2026-09-08,src-0008,PDF page 7 / printed page 007,19,118
src-0003,H-TRNS-93730-790,한성부 서서 반송방도 십칠매지내 제16호,https://museum.seoul.go.kr/archive/archiveNew/NR_archiveView.do?ctgryId=CTGRY790&fileSn=300&type=C&upperNodeId=CTGRY790&fileId=H-TRNS-93730-790,,"서대문구 천연동 종로구 교북동, 교남동 일대",institution_description,2026-09-08,src-0008,PDF page 7 / printed page 007,20,124
src-0003,H-TRNS-93731-790,한성부 서서 양생방도 오매지내 제4호,https://museum.seoul.go.kr/archive/archiveNew/NR_archiveView.do?ctgryId=CTGRY790&fileSn=300&type=C&upperNodeId=CTGRY790&fileId=H-TRNS-93731-790,,"중구 정동, 서소문동, 태평로2가동 일대",institution_description,2026-09-08,src-0008,PDF page 7 / printed page 007,21,130
src-0003,H-TRNS-93732-790,한성부 서서 양생방도 오매지내 제5호,https://museum.seoul.go.kr/archive/archiveNew/NR_archiveView.do?ctgryId=CTGRY790&fileSn=300&type=C&upperNodeId=CTGRY790&fileId=H-TRNS-93732-790,,"중구 태평로2가, 남대문로 4가 일대",institution_description,2026-09-08,src-0008,PDF page 7 / printed page 007,22,136
src-0003,H-TRNS-93719-790,한성부 서서 여경방도 사매지내 제1호,https://museum.seoul.go.kr/archive/archiveNew/NR_archiveView.do?ctgryId=CTGRY790&fileSn=300&type=C&upperNodeId=CTGRY790&fileId=H-TRNS-93719-790,src-0009,"중구 무교동, 태평로 1가동 일대",institution_description,2026-09-08,src-0008,PDF page 7 / printed page 007,9,58
